power.draw [W], utilization.gpu [%]
57.74 W, 0 %
57.74 W, 0 %
57.74 W, 0 %
59.60 W, 0 %
58.07 W, 0 %
57.74 W, 0 %
57.74 W, 0 %
57.74 W, 0 %
58.01 W, 4 %
57.74 W, 0 %
65.98 W, 7 %
266.10 W, 96 %
273.99 W, 71 %
225.05 W, 0 %
219.53 W, 98 %
73.54 W, 98 %
207.83 W, 98 %
272.52 W, 99 %
254.06 W, 100 %
203.95 W, 100 %
186.94 W, 99 %
220.41 W, 99 %
285.98 W, 100 %
268.11 W, 100 %
321.71 W, 100 %
216.59 W, 100 %
221.51 W, 100 %
74.09 W, 100 %
73.82 W, 10 %
159.41 W, 11 %
73.82 W, 0 %
58.88 W, 0 %
263.43 W, 99 %
240.01 W, 100 %
74.09 W, 0 %
72.95 W, 0 %
58.94 W, 1 %
58.28 W, 0 %
58.01 W, 0 %
58.01 W, 0 %
64.50 W, 0 %
60.09 W, 0 %
72.34 W, 0 %
